rep19_16_rep(pSK156)	GQ900448  rep19_16_rep(pSK156)_GQ900448
rep19_1_rep(p18811P03)	CP002143  rep19_1_rep(p18811P03)_CP002143
rep19_2_rep(pSA1379)	NC007931  rep19_2_rep(pSA1379)_NC007931
rep19_3_CDS20(pSJH901)	CP000704  rep19_3_CDS20(pSJH901)_CP000704
rep19_4_rep(p18808P03)	CP002137  rep19_4_rep(p18808P03)_CP002137
rep19_5_rep(pWBG747)	GQ900399  rep19_5_rep(pWBG747)_GQ900399
rep19_6_ORF34(EDINA)	AP003089  rep19_6_ORF34(EDINA)_AP003089
rep19_7_repA(SAP019A)	GQ900385  rep19_7_repA(SAP019A)_GQ900385
rep19_8_repA(pWBG759)	GQ900401  rep19_8_repA(pWBG759)_GQ900401
rep19_9_repA(AP071A)	GQ900485  rep19_9_repA(AP071A)_GQ900485
rep19a_1_repA(pUB101)	NC005127  rep19a_1_repA(pUB101)_NC005127
rep19b_1_repA(SAP105A)	GQ900452  rep19b_1_repA(SAP105A)_GQ900452
rep19c_1_CDS45(pLEW6932)	NC009130  rep19c_1_CDS45(pLEW6932)_NC009130
rep19c_2_rep(pvSw4)	CP003673  rep19c_2_rep(pvSw4)_CP003673
rep19c_3_rep(pETB)	AP012467  rep19c_3_rep(pETB)_AP012467
rep19c_4_rep(pSSP2)	AP008936  rep19c_4_rep(pSSP2)_AP008936
rep19c_5_rep(SAP108A)	GQ900458  rep19c_5_rep(SAP108A)_GQ900458
rep1_1_repE(pAMbeta)	AF007787  rep1_1_repE(pAMbeta)_AF007787
rep1_2_repS(pSM19035)	AY357120  rep1_2_repS(pSM19035)_AY357120
rep1_3_repR(pGB354)	U83488  rep1_3_repR(pGB354)_U83488
rep1_4_repE(pIP816)	AM932524  rep1_4_repE(pIP816)_AM932524
rep1_5_CDS6(pRE25)	X92945  rep1_5_CDS6(pRE25)_X92945
rep1_6_repE(pTEF1)	AE016833  rep1_6_repE(pTEF1)_AE016833
rep1_7_EFD32pA0001(EFD32pA)	CP003727  rep1_7_EFD32pA0001(EFD32pA)_CP003727
rep1_8_repE(pWZ909)	GQ484954  rep1_8_repE(pWZ909)_GQ484954
rep1_9_repE(pKL0018)	AB290882  rep1_9_repE(pKL0018)_AB290882
rep20_10_repA(SAP057A)	NC013334  rep20_10_repA(SAP057A)_NC013334
rep20_11_repA(VRSAp)	AP003367  rep20_11_repA(VRSAp)_AP003367
rep20_12_repA(SAP105B)	GQ900453  rep20_12_repA(SAP105B)_GQ900453
rep20_13_repA(p11819p97)	CP003193  rep20_13_repA(p11819p97)_CP003193
rep20_14_repA(pSSAP2)	HE616681  rep20_14_repA(pSSAP2)_HE616681
rep20_15_repA(pSK67M1)	HF937104  rep20_15_repA(pSK67M1)_HF937104
rep20_1_ORF1(EDINA)	AP003089  rep20_1_ORF1(EDINA)_AP003089
rep20_2_repA(pWBG753)	GQ900395  rep20_2_repA(pWBG753)_GQ900395
rep20_3_rep(pTW20)	FN433597  rep20_3_rep(pTW20)_FN433597
rep20_4_repA(SAP102A)	GQ900496  rep20_4_repA(SAP102A)_GQ900496
rep20_5_repA(pSK23)	GQ900491  rep20_5_repA(pSK23)_GQ900491
rep20_6_repA(SAP059A)	GQ900480  rep20_6_repA(SAP059A)_GQ900480
rep20_7_repA(SAP074A)	GQ900426  rep20_7_repA(SAP074A)_GQ900426
rep20_8_repA(SAP063A)	GQ900418  rep20_8_repA(SAP063A)_GQ900418
rep20_9_repA(SAP055A)	GQ900414  rep20_9_repA(SAP055A)_GQ900414
rep21_11_rep(pSA1308)	AB254848  rep21_11_rep(pSA1308)_AB254848
rep21_12_rep(pKH3)	AF151117  rep21_12_rep(pKH3)_AF151117
